YY,MM,DD,HH,MI,SS,SEQ,THETIME,LOGID,CLIENTIP,REQUESTOR,SERVER,DBNAME,ACC,ELAPSED,BUSY,NRROWS,STATEMENT,ERROR
2004,1,14,20,50,13,4114226,14-JAN-04 08.50.13.000000000 AM,2003,131.142.224.104,skyserver.sdss.org,SDSSDR1,BESTDR1,public,0.216,0,26,"SELECT pobjID,prun,prerun,pcamcol,pfield,pobj,ptype,pra,pdec,pu,pg,pr,pi,pz,pErr_u,pErr_g,pErr_r,pErr_i,pErr_z FROM fGetNearbyObjEq(150,4,1) n,PhotoPrimary WHERE nobjID=pobjID",0
2004,1,14,10,28,12,4115227,14-JAN-04 10.28.13.000000000 AM,2003,128.220.233.81,skyserver.pha.jhu.edu,SDSSDR1,BESTDR1,public,0.03,0.001,1,"SELECT pobjID,prun,prerun,pcamcol,pfield,pobj,ptype,pra,pdec,pu,pg,pr,pi,pz,pErr_u,pErr_g,pErr_r,pErr_i,pErr_z FROM fGetNearbyObjEq(180,-0.5,3)n,PhotoPrimary WHERE nobjID=pobjID",0
2004,1,14,10,28,12,4115227,14-JAN-04 10.28.13.000000000 AM,2003,128.220.233.81,skyserver.pha.jhu.edu,SDSSDR1,BESTDR1,public,0.03,0.001,1,"SELECT pobjID,prun,prerun,pcamcol,pfield,pobj,ptype,pra,pdec,pu,pg,pr,pi,pz,pErr_u,pErr_g,pErr_r,pErr_i,pErr_z FROM fGetNearbyObjEq(180,-0.5,3)n,PhotoPrimary WHERE nobjID=pobjID",0
2004,1,14,10,28,12,4115227,14-JAN-04 10.28.13.000000000 AM,2003,128.220.233.81,skyserver.pha.jhu.edu,SDSSDR1,BESTDR1,public,0.03,0.001,1,"SELECT pobjID,prun,prerun,pcamcol,pfield,pobj,ptype,pra,pdec,pu,pg,pr,pi,pz,pErr_u,pErr_g,pErr_r,pErr_i,pErr_z FROM fGetNearbyObjEq(180,-0.5,3)n,PhotoPrimary WHERE nobjID=pobjID",0
2004,1,14,22,28,22,4114052,14-JAN-04 10.28.22.000000000 AM,2003,128.220.233.85,skyserver.pha.jhu.edu,SDSSDR1,BESTDR1,public,0.016,0.001,1,"SELECT pobjID,prun,prerun,pcamcol,pfield,pobj,ptype,pra,pdec,pu,pg,pr,pi,pz,pErr_u,pErr_g,pErr_r,pErr_i,pErr_z FROM fGetNearbyObjEq(180,-0.5,3)n,PhotoPrimary WHERE nobjID=pobjID",0
2004,1,14,22,29,41,4114050,14-JAN-04 10.29.42.000000000 AM,2003,128.220.233.85,skyserver.pha.jhu.edu,SDSSDR1,BESTDR1,public,0.03,0,1,"SELECT pobjID,prun,prerun,pcamcol,pfield,pobj,ptype,pra,pdec,pu,pg,pr,pi,pz,pErr_u,pErr_g,pErr_r,pErr_i,pErr_z FROM fGetNearbyObjEq(180,-0.5,3)n,PhotoPrimary WHERE nobjID=pobjID",0
2004,1,14,22,30,58,4114048,14-JAN-04 10.30.58.000000000 AM,2003,128.220.233.85,skyserver.pha.jhu.edu,SDSSDR1,BESTDR1,public,0.03,0.001,1,"SELECT pobjID,prun,prerun,pcamcol,pfield,pobj,ptype,pra,pdec,pu,pg,pr,pi,pz,pErr_u,pErr_g,pErr_r,pErr_i,pErr_z FROM fGetNearbyObjEq(180,-0.5,3)n,PhotoPrimary WHERE nobjID=pobjID",0
2004,1,14,10,31,8,4115223,14-JAN-04 10.31.09.000000000 AM,2003,128.220.233.85,skyserver.pha.jhu.edu,SDSSDR1,BESTDR1,public,0.03,0,1,"SELECT pobjID,prun,prerun,pcamcol,pfield,pobj,ptype,pra,pdec,pu,pg,pr,pi,pz,pErr_u,pErr_g,pErr_r,pErr_i,pErr_z FROM fGetNearbyObjEq(180,-0.5,3)n,PhotoPrimary WHERE nobjID=pobjID",0
2004,1,14,22,32,17,4114046,14-JAN-04 10.32.18.000000000 AM,2003,128.220.233.85,skyserver.pha.jhu.edu,SDSSDR1,BESTDR1,public,0.03,0,1,"SELECT pobjID,prun,prerun,pcamcol,pfield,pobj,ptype,pra,pdec,pu,pg,pr,pi,pz,pErr_u,pErr_g,pErr_r,pErr_i,pErr_z FROM fGetNearbyObjEq(180,-0.5,3)n,PhotoPrimary WHERE nobjID=pobjID",0
2004,1,14,10,32,36,4115220,14-JAN-04 10.32.37.000000000 AM,2003,128.220.233.85,skyserver.pha.jhu.edu,SDSSDR1,BESTDR1,public,0.033,0.001,1,"SELECT pobjID,prun,prerun,pcamcol,pfield,pobj,ptype,pra,pdec,pu,pg,pr,pi,pz,pErr_u,pErr_g,pErr_r,pErr_i,pErr_z FROM fGetNearbyObjEq(180,-0.5,3)n,PhotoPrimary WHERE nobjID=pobjID",0
